Tour Name,Type,Rating,Number of reviews,Price,Duration (hrs)
Tokyo Winter Illumination Tour,Art Classes,,,63.71,3.0
The Imperial Hotel Japanese Kimono Private Experience,Bus Tours,,,1737.59,2.0
Barrier-Free Private Mt. Fuji Tour for Wheelchair Users,Historical Tours,,,130.0,11.5
 The best of Tokyo Walking tour,Transportation Services,,,181.0,2.0
Tokyo HND/NRT Airport / Hotel Private Pickup,Martial Arts Classes,,,434.4,1.0
Samurai Warrior Experience (with Costume Wearing),Bus Tours,,,63.71,1.5
Kamakura All Must-Sees Private Chauffeur Sightseeing with a Driver (Tokyo DEP.),Rentals,,,280.82,6.0
Enjoy Tokyo Drive with Tuk Tuk Rent A Car!,Craft Classes,,,161.34,4.0
Hand Made Goshuin Book Experience Eco Friendly Upcycling,Rentals,,,528.52,0.8
"Private training in Asakusa Dojo, variable start time, 80-min.",Full-day Tours,,,477.84,1.5
Paragliding in tandem style over Mount Fuji,Transportation Services,,,159.28,6.0
Tokyo Haneda Airport (HND) to Tokyo - Arrival Private Transfer,Transportation Services,,,133.33,0.8
Tokyo Departure Private Transfers from Tokyo City to Tokyo-Narita Airport NRT,Spas,,,318.56,1.0
Aroma Massage with cherry blossom infused oil,Public Transportation Tours,,,181.0,2.0
Private Tokyo Tour with a Japanese Guide,Full-day Tours,,,138.57,7.0
[Private] Tokyo Personalized Tour with An English Speaking Guide,Public Transportation Tours,,,199.79,10.0
6-hour Tokyo tour with a qualified tour guide using public transport,Historical Tours,,,325.8,6.0
Tea ceremony tour in Ueno with kimono guide,Bus Tours,,,637.12,4.0
2-Hour Tokyo Tour in Tokyo Drift Mazda RX7,Rail Tours,,,350.46,2.0
Private English / French / Spanish guiding tours,Transportation Services,,,28.96,5.5
Private Transfer from Nagasaki Hotels to Nagasaki Cruise Port,Full-day Tours,,,181.0,0.2
Private Tokyo Tour - up to 9 Travelers,Art Classes,,,133.33,6.0
Private Premium​ Plan Kimono & Japanese Tea Ceremony Experience,Architecture Tours,,,340.0,3.0
Street food and off the beaten track around Shibuya,Transportation Services,,,97.74,6.0
Private transfer: Tokyo to Tokyo Airport (HND),Architecture Tours,,,157.79,1.0
Tokyo Architecture and Contemporary Art Walking Tour with a local guide,Likely To Sell Out,,,183.34,7.0
"Fun Afternoon in Yanaka, Tokyo's old town",Valentine's Day Events,,,231.68,3.0
 Romantic Tour In Tokyo,Transportation Services,,,235.88,2.0
Private Transfer: Haneda Airport HND to Tokyo in Luxury Van,Transportation Services,,,202.72,0.5
Tokyo Departure Private Transfers from Tokyo City to Tokyo-Narita Airport NRT,Transportation Services,,,,1.0
Round trip transfer in private car from-to Narita Airport in Tokyo City Center,Bus Tours,,,,1.5
Hakone Gotemba Full Day Tour from Tokyo with Guide and Vehicle,Photo Shoots,,,,6.0
Experience Asakusa with Local photographer - A Private Session,4WD Tours,,,,1.0
2 Days Drift Japan Tokyo to Ebisu Private Tour,Audio Guides,,,,48.0
Asakusa: Traditional exquisite lunch after history tour,Transportation Services,,,,4.0
Private Haneda Airport Pickup / Drop off (Tokyo),Art Classes,,,,2.0
"45 Minutes Taisho Art Class Live Performance in Asakusa, Tokyo",Transportation Services,,,,0.8
One Way Private Shuttle to Nagano Ski Centers,Food & Drink,,,,9.0
Japanese pub crawl in Tokyo,Food & Drink,,,,2.5
Full-Day Private Tour in New Shibuya,Rail Tours,,,,5.5
Taiko Japanese Drum Experience in Tokyo,Music Classes,,,,2.0
Koto Japanese Traditional Instrument Experience,Photo Shoots,,,,0.8
Private Photo Session with a Local Photographer in Tokyo,Transportation Services,,,,0.5
Transfer in private vehicle from Tokyo Narita Airport to City Center,Transportation Services,,,,1.5
Tokyo And Kanto Private Customized Day Tour,Lunch,,,,6.0
Yanagi gallery in Ginza for private hire With lunch,Public Transportation Tours,,,,1.5
Bonsai and Washi Museum visit in Tokyo,Transportation Services,,,,4.0
Departure Private Transfer from Tokyo City to Narita Airport NRT by Business Car,Historical Tours,,,,1.5
1 Day Seki Mino and National Treasure Inuyama Castle from Nagoya,Art Classes,,,,6.0
Akasaka Japanese Kimono Experience,Fun & Games,,,,2.0
Friends Plan,Historical Tours,,,,2.0
Full Day Tokyo Chartered Taxi Tour,City Tours,,,,6.0
"Tokyo Walking tour 6 hours (Tsukuji Fish Market, Asakusa, Ginza, Imperial Palace",Fun & Games,,,,6.0
Wedding Photo Plan at Roppongi,Transportation Services,,,,3.0
Arrival Private Transfer: Haneda Airport HND to Tokyo in Van,Food & Drink,,,,0.5
Private Guided Bar Hopping with Food and Drink Tour in Shinjuku,Public Transportation Tours,,,,2.0
"Tokyo highlights, High Rise Observatory, Meiji shrine, Imperial palace Garden",Transportation Services,,,,6.0
Private Transfer from Tokyo City to Narita Airport NRT by van,Transportation Services,,,,1.5
Private Round Trip Transfer to Tokio Narita Airport,Audio Guides,,,,1.1
"Watarase Keikoku Railway, Takatsudo Gorge,Illumination at Ashikaga Flower Park",Full-day Tours,,,,6.0
"Private Lunch with Sayuki, the First Western Geisha",Transportation Services,,,,2.0
Transfer in private vehicle from Tokyo City Center to Narita Airport,Full-day Tours,,,,1.5
Private Custom Day Tour in Tokyo City,Transportation Services,,,,6.0
Tokyo Private Transfer from Tokyo central to Narita Airport (NRT),Food & Drink,,,,1.0
Why don't you make Sushi? Sushi Making Experience,,,,,2.5
