Tour Name,Type,Rating,Number of reviews,Price,Duration (hrs)
1 Day Private Charter Tokyo Sight Seeing Tour with guide,Bus Tours,5.0,2,202.72,6.0
The History of Tokyo: Sensoji Temple & Asakusa District Private Tour,Historical Tours,4.5,4,152.04,3.0
Ninja Samurai 2-hour hands-on lesson in English in Tokyo,Fun & Games,4.5,3,933.95,2.0
Authentic Geisha Performance and Entertainment including a Kaiseki Course Dinner,Food & Drink,4.5,28,123.08,2.5
Tokyo's Scariest Shitamachi Ghost Tour,Public Transportation Tours,5.0,1,100.0,3.0
Nikko private tour with English speaking guide,Historical Tours,5.0,6,10.86,6.0
Private Ueno Park Architecture Walking Tour,Architecture Tours,4.5,15,200.0,3.0
Experience Local Food and Drink on Sunamachi Ginza Delicatessen Street,Food & Drink,5.0,7,18.1,3.5
English Stand up Comedy Show,Comedy Shows,5.0,1,34.03,1.5
Tokyo Allstar Food Tour,Food & Drink,5.0,3,37.23,3.0
Licensed Guide Tokyo Meguro Cherry Blossom Walking Tour,Historical Tours,3.5,3,345.0,1.5
1 Day Pass at the Digital Amusement Park RED TOKYO TOWER,Attractions & Museums,5.0,45,700.0,1.8
Shared Arrival Transfer : Haneda Airport to Central Tokyo City,Transportation Services,5.0,15,164.11,2.0
Secrets of Sumo Culture,Historical Tours,5.0,3,115.84,4.0
Private Nikko Sightseeing Tour - Bilingual Chauffeur,Transportation Services,5.0,1,340.0,6.0
Private Tokyo Photography Walking Tour with a Professional Photographer,Art Classes,5.0,8,455.0,3.0
Japanese Whisky Tasting Experience at Local Bar in Tokyo,Spring Break,4.5,9,133.94,2.0
From Haneda Layover tour for 6 hours by train,Day Trips,5.0,7,162.9,6.0
Full-Day Private Tour to Discover The Best of Tokyo,Bus Tours,5.0,2,70.95,6.0
Savor Wagyu & Sake Pairing in Shinjuku,Food & Drink,5.0,2,169.61,3.0
 Full-Day Private Mt. Fuji Tour with Local Guide from Tokyo,Bus Tours,5.0,3,700.0,9.5
Toyosu Market Morning Tuna Auction and Tsukiji Food Tour with Licensed Guide,City Tours,5.0,19,30.41,3.0
"Experience all of Japanese culture and Japanese food experience classes ""origami, udon, Japanese food, green tea, calligraphy"" in 4 hours",Unique Experiences,5.0,8,238.92,4.0
The 10 Tastings of Tokyo With Locals: Private Street Food Tour,Food & Drink,5.0,18,94.12,3.0
Private Kamakura and Yokohama Tour - Bilingual Chauffeur,Bus Tours,4.0,6,716.75,6.0
Red Tokyo Tower Night Ticket,Skip the line Tickets,5.0,15,50.68,1.8
One Day Tour of Kamakura from Tokyo,Historical Tours,5.0,1,112.22,6.0
Samurai Training Tokyo Asakusa,Unique Experiences,5.0,4,164.55,1.0
Mt Fuji Private customize tour with English speaking guide,Bus Tours,5.0,1,125.25,6.0
東京下町自転車ツアー（ショートコース）Guided cycle tour (short) in the central Tokyo,City Tours,4.5,8,115.84,2.5
IAIDO SAMURAI ship experience with real SWARD and ARMER,Martial Arts Classes,3.5,6,152.04,1.5
Private Tokyo City Night Tour,Bus Tours,5.0,76,123.08,6.0
Hopping to members only bars & finding special Japanese whiskey in Tokyo!,Food & Drink,5.0,1,362.0,2.5
Private Ginza Architecture Walking Tour,Architecture Tours,1.0,1,152.04,3.0
Tokyo Food & Culture Full-Day Private Tour with Government-Licensed Guide,City Tours,5.0,17,868.79,6.0
Full Day Hiking Tour at Mt.Takao including Hot Spring,Hiking Tours,5.0,2,347.52,5.5
"Tokyo 6 hour Tour : English Speaking Driver Only, No guide",Bus Tours,5.0,4,72.0,6.0
Tokyo Off the Beaten Path Full-Day Private Tour with Government-Licensed Guide,Public Transportation Tours,5.0,32,16.09,6.0
"Tokyo Tour, from/to, Yokohama City, Tokyo City and TDR Area",Bus Tours,5.0,19,62.26,7.5
Samurai Armor Photo Shoot in Shibuya,Rail Tours,5.0,2,125.9,2.0
TOKYO Oishi Park & Oshinohakkai & Koedo Kawagoe & Fuji Mouontain,Full-day Tours,5.0,3,86.88,6.0
Unlimited WiFi Router - Haneda Airport T3 (Tokyo) Pickup,Rentals,4.5,116,21.72,396.0
Kintsugi Experience in Tokyo,Pottery Classes,5.0,17,313.91,1.0
Traditional Japanese Cooking Class at Mayuko's Home in Tokyo,Food & Drink,5.0,2,450.0,3.0
Hakone Day Tour with Lake Ashi cruise and Ohwakudani,Boat Tours,5.0,68,66.61,6.0
Japanese calligraphy & making an original folding fan workshop!,Craft Classes,3.5,3,224.44,3.0
Tokyo Layover Tour with a Local: Private and Tailored to Your Needs,City Tours,5.0,10,118.01,7.0
Fukushima Daiichi Nuclear Power Plant visit 2 day tour from Tokyo,Bus Tours,5.0,5,107.51,48.0
Enjoy plus size Kimono,Art Classes,5.0,3,209.28,3.0
Tsukiji Outer Market and Sushi Making Private Tour,Food & Drink,4.5,23,101.36,5.0
 Nikko Scenic Spots and UNESCO Shrine - Full Day Bus Tour from Tokyo,Bus Tours,4.0,2,63.71,6.0
Photoshoot with Professional Photographer in Tokyo,Unique Experiences,5.0,1,46.59,1.5
Private Half Day Tokyo Tour with a Local: Highlights & Hidden Gems- Custom,City Tours,5.0,21,127.18,4.0
Half-day Kawaii Tour in Harajuku,Shopping Tours,5.0,21,471.32,4.0
"Flower Arrangement ""Ikebana"" in YANAKA / Taito-ku / TOKYO.",Art Classes,4.5,12,760.19,1.5
Kazui's Kabuki Talk,Historical Tours,5.0,12,137.56,1.5
Tokyo by Night: Japanese Food and Drinks Experience,Food & Drink,5.0,5,202.72,3.5
Private Tokyo Night Tour,Bus Tours,5.0,1,47.06,3.5
"Mt. Fuji Area Tour Tokyo DEP: English Speaking Driver, No Guide",Bus Tours,5.0,22,63.71,6.0
wagyu & sake pairing experience,Food & Drink,5.0,2,152.04,2.0
Tokyo By Night,Walking Tours,5.0,33,1266.99,2.5
Samurai performance show,Sports Lessons,5.0,1,83.26,1.0
EDOCCO Teahouse,Craft Classes,5.0,16,181.0,1.0
Tokyo Full-Day Instagram Highlights Private Tour with Government-Licensed Guide,Public Transportation Tours,5.0,13,199.1,6.0
Mt.Fuji Trekking 1 Day Tour up to the summit,Full-day Tours,5.0,1,193.0,14.0
Adventurous Japanese Food Tour,Unique Experiences,5.0,14,202.18,2.0
Free Choice of Itineraries Tokyo Private Tour,Rail Tours,5.0,1,65.15,6.0
Authentic Pure Gold Kintsugi Workshop with Master Taku in Tokyo,Pottery Classes,5.0,1,101.36,2.0
"Asakusa, Tokyo's #1 Family Food Tour",Food & Drink,5.0,54,41.99,3.0
Private Customizable Walking Tour of Tokyo,Public Transportation Tours,4.0,3,16.09,6.0
Private City Kickstart Tour: Tokyo,City Tours,5.0,8,79.64,1.5
Japanese Calligraphy Experience with a Calligraphy Master,Art Tours,5.0,26,119.46,2.0
Food & Drinks Bar Tour- Discover Unique Tokyo Nightlife,Food & Drink,4.5,3,86.03,4.5
